Gender,Weight,Scull/sweep,Class,Place,Country
M,L,scull,2,1,FRA
M,L,scull,2,2,IRL
M,L,scull,2,3,NOR
M,L,scull,2,4,RSA
M,L,scull,2,5,USA
M,L,scull,2,6,POL
M,L,scull,2,7,GBR
M,L,scull,2,8,ITA
M,L,scull,2,9,GER
M,L,scull,2,10,DEN
M,L,scull,2,11,CHN
M,L,scull,2,12,AUT
M,L,scull,2,13,SUI
M,L,scull,2,14,BRA
M,L,scull,2,15,JPN
M,L,scull,2,16,TUR
M,L,scull,2,17,CHI
M,L,scull,2,18,CUB
M,L,scull,2,19,HKG
M,L,scull,2,20,ANG
M,L,sweep,4,1,SUI
M,L,sweep,4,2,DEN
M,L,sweep,4,3,FRA
M,L,sweep,4,4,ITA
M,L,sweep,4,5,NZL
M,L,sweep,4,6,GRE
M,L,sweep,4,7,GBR
M,L,sweep,4,8,CHN
M,L,sweep,4,9,GER
M,L,sweep,4,10,USA
M,L,sweep,4,11,NED
M,L,sweep,4,12,CZE
M,H,scull,1,1,NZL
M,H,scull,1,2,CRO
M,H,scull,1,3,CZE
M,H,scull,1,4,BEL
M,H,scull,1,5,BLR
M,H,scull,1,6,CUB
M,H,scull,1,7,POL
M,H,scull,1,8,MEX
M,H,scull,1,9,AUS
M,H,scull,1,10,EGY
M,H,scull,1,11,NOR
M,H,scull,1,12,GBR
M,H,scull,1,13,IND
M,H,scull,1,14,HUN
M,H,scull,1,15,ARG
M,H,scull,1,16,INA
M,H,scull,1,17,KOR
M,H,scull,1,18,URU
M,H,scull,1,19,LTU
M,H,scull,1,20,PER
M,H,scull,1,21,IRQ
M,H,scull,1,22,UZB
M,H,scull,1,23,ALG
M,H,scull,1,24,PAR
M,H,scull,1,25,ZIM
M,H,scull,1,26,THA
M,H,scull,1,27,TUN
M,H,scull,1,28,ECU
M,H,scull,1,29,VEN
M,H,scull,1,30,VAN
M,H,scull,1,31,KAZ
M,H,scull,1,32,LBA
M,H,sweep,2,1,NZL
M,H,sweep,2,2,RSA
M,H,sweep,2,3,ITA
M,H,sweep,2,4,GBR
M,H,sweep,2,5,FRA
M,H,sweep,2,6,AUS
M,H,sweep,2,7,CZE
M,H,sweep,2,8,NED
M,H,sweep,2,9,HUN
M,H,sweep,2,10,SRB
M,H,sweep,2,11,USA
M,H,sweep,2,12,ROU
M,H,scull,2,1,CRO
M,H,scull,2,2,LTU
M,H,scull,2,3,NOR
M,H,scull,2,4,ITA
M,H,scull,2,5,GBR
M,H,scull,2,6,FRA
M,H,scull,2,7,AUS
M,H,scull,2,8,GER
M,H,scull,2,9,BUL
M,H,scull,2,10,SRB
M,H,scull,2,11,NZL
M,H,scull,2,12,AZE
M,H,sweep,4,1,GBR
M,H,sweep,4,2,AUS
M,H,sweep,4,3,ITA
M,H,sweep,4,4,RSA
M,H,sweep,4,5,NED
M,H,sweep,4,6,CAN
M,H,sweep,4,7,USA
M,H,sweep,4,8,GRE
M,H,sweep,4,9,BLR
M,H,sweep,4,10,RUS
M,H,sweep,4,11,FRA
M,H,sweep,4,12,GER
M,H,scull,4,1,GER
M,H,scull,4,2,AUS
M,H,scull,4,3,EST
M,H,scull,4,4,POL
M,H,scull,4,5,GBR
M,H,scull,4,6,UKR
M,H,scull,4,7,SUI
M,H,scull,4,8,CAN
M,H,scull,4,9,LTU
M,H,scull,4,10,NZL
M,H,sweep,8,1,GBR
M,H,sweep,8,2,GER
M,H,sweep,8,3,NED
M,H,sweep,8,4,USA
M,H,sweep,8,5,POL
M,H,sweep,8,6,NZL
W,L,scull,2,1,NED
W,L,scull,2,2,CAN
W,L,scull,2,3,CHN
W,L,scull,2,4,NZL
W,L,scull,2,5,RSA
W,L,scull,2,6,IRL
W,L,scull,2,7,POL
W,L,scull,2,8,ROU
W,L,scull,2,9,DEN
W,L,scull,2,10,USA
W,L,scull,2,11,GER
W,L,scull,2,12,JPN
W,L,scull,2,13,ITA
W,L,scull,2,14,GBR
W,L,scull,2,15,BRA
W,L,scull,2,16,HKG
W,L,scull,2,17,CHI
W,L,scull,2,18,VIE
W,L,scull,2,19,CUB
W,L,scull,2,20,TUN
W,H,scull,1,1,AUS
W,H,scull,1,2,USA
W,H,scull,1,3,CHN
W,H,scull,1,4,NZL
W,H,scull,1,5,SUI
W,H,scull,1,6,AUT
W,H,scull,1,7,CZE
W,H,scull,1,8,BLR
W,H,scull,1,9,DEN
W,H,scull,1,10,CAN
W,H,scull,1,11,ZIM
W,H,scull,1,12,MEX
W,H,scull,1,13,IRL
W,H,scull,1,14,LTU
W,H,scull,1,15,SWE
W,H,scull,1,16,BER
W,H,scull,1,17,ARG
W,H,scull,1,18,KOR
W,H,scull,1,19,PAR
W,H,scull,1,20,NGR
W,H,scull,1,21,ALG
W,H,scull,1,22,TTO
W,H,scull,1,23,SIN
W,H,scull,1,24,EGY
W,H,scull,1,25,TPE
W,H,scull,1,26,KAZ
W,H,scull,1,27,THA
W,H,scull,1,28,IRI
W,H,scull,1,29,INA
W,H,scull,1,30,BAH
W,H,scull,1,31,PER
W,H,scull,1,32,TOG
W,H,sweep,2,1,GBR
W,H,sweep,2,2,NZL
W,H,sweep,2,3,DEN
W,H,sweep,2,4,USA
W,H,sweep,2,5,RSA
W,H,sweep,2,6,ESP
W,H,sweep,2,7,CHN
W,H,sweep,2,8,GER
W,H,sweep,2,9,ROU
W,H,sweep,2,10,POL
W,H,sweep,2,11,ITA
W,H,sweep,2,12,FRA
W,H,sweep,2,13,NED
W,H,sweep,2,14,CAN
W,H,sweep,2,15,BLR
W,H,scull,2,1,POL
W,H,scull,2,2,GBR
W,H,scull,2,3,LTU
W,H,scull,2,4,GRE
W,H,scull,2,5,FRA
W,H,scull,2,6,USA
W,H,scull,2,7,GER
W,H,scull,2,8,BLR
W,H,scull,2,9,AUS
W,H,scull,2,10,CZE
W,H,scull,2,11,CHN
W,H,scull,2,12,NZL
W,H,scull,4,1,GER
W,H,scull,4,2,NED
W,H,scull,4,3,POL
W,H,scull,4,4,UKR
W,H,scull,4,5,USA
W,H,scull,4,6,CHN
W,H,sweep,8,1,USA
W,H,sweep,8,2,GBR
W,H,sweep,8,3,ROU
W,H,sweep,8,4,NZL
W,H,sweep,8,5,CAN
W,H,sweep,8,6,NED